units,max_deg,centralized_lqr_mean,centralized_lqr_var,distributed_lqr_mean,distributed_lqr_var,distributed_worst_mean,distributed_worst_var,distributed_theory_mean,distributed_theory_var
4,2,0.763098756,0.007329492,7.521810285,0.136080995,5.243339471,0.179030411,5.09879299,0.177399408
9,4,4.062920159,0.033257305,24.83440812,0.211581551,17.61199747,0.157903546,17.33815462,0.157472907
16,4,13.12818539,0.101832217,49.95507983,0.240986488,34.00974847,0.311139843,33.59358957,0.310694585
25,4,32.08033455,0.217814516,83.90562954,0.33320498,55.50853322,0.360328527,54.92116125,0.364507081
36,4,67.76204472,0.088375419,126.0698629,0.573279996,80.22266803,1.074311494,79.41522474,1.089508615
49,4,126.6835001,1.050502563,178.9939155,2.24011557,108.8315811,2.19411784,107.7812985,2.179728604
64,4,219.1482233,1.889535443,240.6165175,1.736569113,136.6950453,2.107741214,135.4024667,2.116666724
81,4,353.9368441,2.486552669,316.2506517,3.970288228,164.9447626,2.949217857,163.4159695,2.958181525
100,4,544.8296275,7.213684528,394.4235045,6.0048477,190.3684709,3.264917741,188.5890504,3.244706559
