units,centralized_lqr_mean,centralized_lqr_var,cvx_mean,cvx_var
10,0.159375,0.020372508,0.08125,0.006987712
20,0.2125,0.042216425,0.3625,0.02317562
30,0.31875,0.039218439,0.909375,0.020372508
40,0.846875,0.186651727,1.71875,0.09375
50,1.8625,0.282635476,2.93125,0.083852549
60,3.05,0.233174006,4.88125,0.236861807
70,4.115625,0.203904753,7.059375,0.168793397
80,5.871875,0.361136985,10.078125,0.603638868
90,8.0875,0.600252226,13.646875,0.451045877
100,9.475,0.486713107,17.953125,0.331087814
