units,max_deg,centralized_lqr_mean,centralized_lqr_var,distributed_lqr_mean,distributed_lqr_var,distributed_worst_mean,distributed_worst_var,distributed_theory_mean,distributed_theory_var,markovski_mean,markovski_var
4,2,0.005053586,6.56E-05,0.896677739,0.043188405,0.383078636,0.008677432,0.027441102,0.002837725,0.003154864,0.000117988
9,4,0.028197242,0.000581141,1.230478732,0.066364505,0.666403348,0.014838605,0.056814396,0.003498143,0.028136334,0.001042741
16,4,0.273010976,0.00187568,2.168695835,0.31654119,1.225618598,0.078696411,0.269405326,0.017661295,0.290957668,0.003419864
25,4,2.634950341,0.012780936,4.874748904,0.474966816,2.967105747,0.123379756,1.426485887,0.023711529,2.783904043,0.02764391
36,4,19.77257273,0.469308642,8.847678139,0.443300036,8.933257331,0.097682576,6.507056818,0.147570112,22.27087564,0.78675667
49,4,115.7546337,4.203383885,35.36599038,1.851993459,49.83772578,1.755259617,46.79248742,1.693477629,139.8728722,3.768947041
64,4,139.4135,4.99603,85.3081387,2.234326,73.2911077,2.135235,70.61249179,1.99689849,171.51245,4.23905
