time,state_1_cvx,state_2_cvx,state_1_central,state_2_central,state_1_distributed,state_2_distributed
66,39.57890057,-2.63E-10,39.55942478,1.70E-09,38.58133455,-3.43E-08
67,39.57890057,-2.53E-10,39.55942478,9.33E-10,38.58133455,1.10E-08
68,39.57890057,-1.90E-10,39.55942478,3.57E-10,38.58133455,1.52E-08
69,39.57890057,-1.16E-10,39.55942478,-4.10E-12,38.58133455,-2.10E-08
70,39.57890057,-5.42E-11,39.55942478,-1.84E-10,38.58133455,1.25E-08
71,39.57890057,-1.19E-11,39.55942478,-2.36E-10,38.58133455,1.03E-09
72,39.57890057,1.12E-11,39.55942478,-2.13E-10,38.58133455,-9.79E-09
73,39.57890057,1.96E-11,39.55942478,-1.58E-10,38.58133455,8.98E-09
74,39.57890057,1.90E-11,39.55942478,-9.85E-11,38.58133455,-3.24E-09
75,39.57890057,1.45E-11,39.55942478,-4.86E-11,38.58133455,-3.00E-09
76,39.57890057,8.98E-12,39.55942478,-1.39E-11,38.58133455,5.06E-09
77,39.57890057,4.20E-12,39.55942478,6.00E-12,38.58133455,-3.37E-09
78,39.57890057,1.11E-12,39.55942478,1.45E-11,38.58133455,4.98E-11
79,39.57890057,-6.89E-13,39.55942478,1.56E-11,38.58133455,2.21E-09
80,39.57890057,-1.36E-12,39.55942478,1.29E-11,38.58133455,-2.31E-09
81,39.57890057,-1.37E-12,39.55942478,8.85E-12,38.58133455,9.33E-10
82,39.57890057,-1.05E-12,39.55942478,5.02E-12,38.58133455,6.15E-10
83,39.57890057,-7.07E-13,39.55942478,2.09E-12,38.58133455,-1.25E-09
84,39.57890057,-2.98E-13,39.55942478,2.34E-13,38.58133455,8.90E-10
85,39.57890057,-7.46E-14,39.55942478,-7.11E-13,38.58133455,-7.23E-11
86,39.57890057,7.82E-14,39.55942478,-1.01E-12,38.58133455,-5.25E-10
87,39.57890057,1.21E-13,39.55942478,-9.31E-13,38.58133455,5.92E-10
88,39.57890057,1.21E-13,39.55942478,-6.89E-13,38.58133455,-2.58E-10
89,39.57890057,7.11E-14,39.55942478,-4.44E-13,38.58133455,-1.36E-10
90,39.57890057,-6.39E-14,39.55942478,-2.24E-13,38.58133455,3.14E-10
91,39.57890057,-3.20E-14,39.55942478,-6.39E-14,38.58133455,-2.32E-10
92,39.57890057,-5.68E-14,39.55942478,2.84E-14,38.58133455,2.59E-11
93,39.57890057,7.11E-15,39.55942478,5.33E-14,38.58133455,1.31E-10
94,39.57890057,-8.53E-14,39.55942478,5.68E-14,38.58133455,-1.52E-10
95,39.57890057,1.42E-14,39.55942478,4.26E-14,38.58133455,6.77E-11
96,39.57890057,1.78E-14,39.55942478,3.20E-14,38.58133455,3.40E-11
97,39.57890057,1.03E-13,39.55942478,1.07E-14,38.58133455,-8.06E-11
98,39.57890057,-3.55E-14,39.55942478,-3.55E-15,38.58133455,5.97E-11
99,39.57890057,3.55E-15,39.55942478,7.11E-15,38.58133455,-6.24E-12
100,39.57890057,-2.13E-14,39.55942478,7.11E-15,38.58133455,-3.41E-11
