time,u_method_1,u_method_2,y_method_1,y_method_2
0,-0.020956886404571683,-0.020956886449912622,1.9099653431470436,1.9099653431470436
1,0.012501686248657893,0.012501686220999949,1.3412780675495448,1.3412780675495448
2,0.03584232389934859,0.03584232388636094,0.8595475746332217,0.8595475746320882
3,0.05033645255190389,0.05033645259005447,0.47116666151608544,0.47116666151346703
4,0.05753419773597018,0.05753419777946186,0.17577100626911668,0.1757710062651891
5,0.05909464425726504,0.05909464430426961,-0.032655576980820916,-0.032655576984586765
6,0.05664092780317932,0.05664092785242432,-0.16433538244360746,-0.16433538244599227
7,0.051648380600315895,0.05164838064848898,-0.23214138521256306,-0.23214138521267802
8,0.045368816335963964,0.04536881638280742,-0.2501129495168089,-0.2501129495141046
9,0.03878988024077885,0.038789880286316754,-0.23217082290083305,-0.232170822895126
10,0.03262533728258445,0.03262533732706847,-0.19110890507511757,-0.1911089050665046
11,0.02733023214426339,0.027330232188259262,-0.1378952340533183,-0.13789523404208304
12,0.023133939850807896,0.02313393989522937,-0.08127765512665715,-0.08127765511317969
13,0.020084077520832522,0.020084077560625337,-0.027662014538354006,-0.0276620145230278
14,0.018094866868652568,0.018094866903120548,0.01878732384690577,0.018787323863746035
15,0.016994610695475643,0.016994610727520655,0.05588394436311312,0.05588394438109191
16,0.016568268839464443,0.016568268871368263,0.08305357129786764,0.08305357131660167
17,0.016592509059076034,0.01659250909270618,0.10092216515798264,0.10092216517718622
18,0.016861920214882333,0.016861920251763994,0.11090535629054994,0.11090535631008117
19,0.01720620390257905,0.017206203943878392,0.11483550636057435,0.11483550638044204
20,0.01749904267938807,0.017499042725838534,0.11465074387980521,0.11465074390015055
21,0.01765995226147826,0.017659952313292447,0.11215887648300517,0.11215887650406751
22,0.01765076728808677,0.017650767341827543,0.10887909721101757,0.108879097233091
23,0.017468515083598337,0.017468515137091536,0.1059564760659058,0.10595647608929096
24,0.017136344725784496,0.017136344779338227,0.10413863169909973,0.10413863172397836
25,0.01669395269713068,0.016693952751039583,0.10380070000099015,0.10380070002737236
26,0.016188635734869086,0.016188635789412185,0.10500352877640448,0.10500352880416498
27,0.01566775594041151,0.015667755995848652,0.10757055692882021,0.10757055695773798
28,0.015173064335634116,0.015173064392205695,0.11117063160003025,0.11117063162982853
29,0.014737028227055802,0.014737028284969967,0.11539660957714228,0.11539660960752582
30,0.014381065319980568,0.014381065379409908,0.11983254358682438,0.11983254361751147
31,0.01411541348378824,0.01411541354482299,0.12410519953592841,0.1241051995666754
32,0.013940260387641004,0.013940260448468564,0.1279183035445078,0.12791830357512526
33,0.013847715847354792,0.01384771590854975,0.13107008803554981,0.13107008806590897
34,0.013824220843573239,0.013824220905700742,0.1334562953435259,0.1334562953735109
35,0.013853037165945376,0.013853037229518726,0.1350617860580278,0.13506178608755617
36,0.013916536435024007,0.013916536500475425,0.1359443316491234,0.13594433167815642
37,0.013998093361054963,0.013998093428716031,0.13621413528413115,0.1362141353126749
38,0.014083474187425723,0.014083474257519126,0.1360122351817141,0.13601223520981331
39,0.014161688577075568,0.014161688649716888,0.13549032391020824,0.1354903239379354
40,0.014225335905194723,0.014225335979958991,0.1347937817654147,0.1347937817928564
41,0.014270522010849215,0.014270522086898331,0.13404897399804036,0.13404897402528337
42,0.014296449407250795,0.014296449484635574,0.13335517924146903,0.1333551792685769
43,0.014304794180801194,0.014304794259600418,0.13278095410303425,0.13278095413002136
44,0.014298979101721643,0.014298979182031633,0.13236432600278167,0.1323643260296201
45,0.014283438425314248,0.01428343850723859,0.13211595054370556,0.1321159505703347
46,0.014262949249687353,0.014262949333330197,0.13202426090857008,0.13202426093490777
47,0.014242080733240995,0.01424208081869888,0.13206165234883183,0.13206165237478557
48,0.014224789035284869,0.014224789122639721,0.13219085468604144,0.13219085471151873
49,0.01421416489040846,0.014214164979727531,0.13237081711990076,0.13237081714481774
50,0.014212323833095187,0.014212323924425485,0.13256163100009632,0.13256163102438423
51,0.014220417053062455,0.014220417146433482,0.13272822018779756,0.1327282202114067
52,0.014238733805664037,0.014238733901090645,0.13284271380284976,0.13284271382575108
53,0.014266863810376552,0.01426686390786148,0.13288556791189346,0.13288556793407819
