time,u_method_1,u_method_2,y_method_1,y_method_2
0,1.0000502642449682,1.0,-1.3916479107411222,-1.3916479107411222
1,1.0000789413870643,1.0,-1.4510999835789613,-1.4510999835789613
2,1.0000000057819012,1.0,-1.378823591900209,-1.3788248485063332
3,1.0000000038041137,1.0,-1.2093537589400267,-1.2093578687051145
4,1.0000161576198714,1.0,-0.9764879446328483,-0.9764940403518969
5,0.9999999994043904,1.0,-0.7109058307474532,-0.7109132243213154
6,0.3871642791284864,0.30706909364911344,-0.4383787180127911,-0.43859749417193317
7,-0.5235082657815726,-0.5138268344198386,-0.17825091555081474,-0.17888732373576438
8,-0.830053945219435,-0.8010416412803955,0.04116467833200543,0.03802836471137189
9,-0.7625363720630038,-0.749864252849142,0.19424707374979844,0.18959323184527685
10,-0.5184607832801542,-0.5227806383529163,0.2812532217030943,0.2766603690979486
11,-0.2364888788213264,-0.25316827544183584,0.31602489119452803,0.3125520751094806
12,0.004398277827261675,-0.0192812257880834,0.31669889114220007,0.3147711384813152
13,0.1726819810295927,0.14682602989474344,0.2998093516367817,0.29937006927110094
14,0.26790890633980047,0.2434975215002863,0.2775673680011735,0.27828501475323714
15,0.30561651906148124,0.28494260494678203,0.25736610652656994,0.25881662522281296
16,0.3061578184853048,0.29032617578162656,0.24254668503283086,0.24433229431884543
17,0.28793151146194795,0.27711991111570056,0.23365597537023242,0.23546383054485806
18,0.2643377204889763,0.25808295974534884,0.22969186924102958,0.23131006724918357
19,0.24330768187484525,0.24076763782797175,0.22907631379398974,0.23038594976571575
20,0.22825766433181113,0.2284291955244368,0.2302792429093616,0.23123629692324926
21,0.21956559171624315,0.2214519698814149,0.23212819691458403,0.23274318619118584
22,0.21599219066948208,0.21871960890754583,0.23388914122944013,0.23420816933036967
23,0.21576121060373477,0.21864701078797918,0.23521204690346478,0.23530053022235722
24,0.2172267583206914,0.21980478918703056,0.23601885153432348,0.23594827445328898
25,0.21918178082879675,0.22119307556649215,0.23638638273875245,0.23622420669243166
26,0.22091485978469935,0.2222739599285741,0.23645244816942648,0.23625524392270117
27,0.22212621875728308,0.2228742629455891,0.23635453331853631,0.23616426985037112
