time,u_method_1,u_method_2,y_method_1,y_method_2
0,-0.49999963370229983,-6.684474218750097,0.7085337524516011,0.7085337524516011
1,-0.4999990061206969,-4.370466804513308,0.7417202358609275,0.7417202358609275
2,-0.49999875450413606,-2.2982712287189786,0.7937394297292625,0.5891275651030675
3,-0.4999987222447304,-0.7350757854849388,0.8077160917357793,0.3631142269114327
4,-0.4999987102812159,0.27590507479002624,0.793412221980677,0.14026011964747237
5,-0.49999919745155974,0.8143538654372543,0.7586453744437585,-0.03683354538697653
6,-0.49999940177672525,1.0087584664295202,0.7096354864527104,-0.1521894373167365
7,-0.4999993299571285,0.9893087684049509,0.6512782971472074,-0.20756647148240648
8,-0.4999996690461152,0.8631467090170191,0.587371822467715,-0.21438784141553135
9,-0.4999998651090807,0.7056586119775063,0.5208107703091982,-0.18756566648065784
10,-0.21140960818994803,0.561699582210776,0.4537563556784491,-0.14145608581063635
11,0.08352177422930032,0.4518028002174771,0.3877845357486595,-0.08769310599166741
12,0.23055123040462255,0.3798972534282351,0.33122806942027505,-0.03443583876956663
13,0.2816144457191092,0.34043621636992516,0.2900622312049433,0.01347010715469732
14,0.2817326981314097,0.3239310383053532,0.26437548369364694,0.05384880679422909
15,0.26273194867744776,0.32063755968065033,0.25115976803354273,0.08638903692975668
16,0.2429118080566166,0.3225862569781821,0.2463785877194144,0.11188427987918415
17,0.22980178552870753,0.3243509381478433,0.2462357677705272,0.1316254392682332
18,0.22428947000288493,0.3229917316736309,0.2479157987511209,0.1469810931756217
19,0.22422997347713966,0.31755473808774526,0.24975422859182997,0.15915339461575426
20,0.22687955423822406,0.30841550636955894,0.2510274582019415,0.16907332749756698
21,0.23012566118505767,0.2966518215970418,0.2516161667392474,0.17739119244814955
22,0.23282276392771567,0.28354374042572456,0.25169351007625546,0.1845210500131338
23,0.23462867860495173,0.2702347770113217,0.2515031484098269,0.19070635134153663
24,0.23566904731815405,0.2575493374471993,0.25124087801022893,0.19608437008042492
25,0.23623121546773274,0.24594473519334303,0.2510176288465419,0.2007368725767034
26,0.23657104560857697,0.2355751072792202,0.25087013324205276,0.20472245287804894
27,0.23683618338136792,0.22645079801344775,0.2507898286934678,0.20809173506516926
28,0.2370702980339843,0.2186798615854215,0.2507509761154869,0.2108904020137023
29,0.23725493216408863,0.21276615069015903,0.25072938131852746,0.21315718081431162
30,0.23735518627499969,0.20989838741937672,0.25071056773847983,0.21492484859713817
31,0.23735084000304837,0.2120870667578768,0.25069016415044565,0.21623197766433744
32,0.2372481768141091,0.21995617388472471,0.2506703375703803,0.21715084548289076
33,0.23707643656012345,0.22748147754286369,0.25065545825576563,0.21783130045166502
34,0.23687623731509952,0.23343458767252462,0.25064887819305326,0.21850110244069956
35,0.2366869081352133,0.23720474917613366,0.2506514502962122,0.21930350183623937
36,0.23653722760458323,0.23863377107136857,0.250661560687561,0.22030814773496168
37,0.23644135643842484,0.2379526750332926,0.2506760561827701,0.22151755671843548
38,0.2363995258693984,0.2357053286859399,0.2506914224518329,0.2228749885000197
39,0.23640182688437286,0.2326270315716023,0.2507047498147517,0.22427894726045924
40,0.2364332088158577,0.22949271687228423,0.25071426724415474,0.22560525641057996
