time,state_1_method_1,state_2_method_1,state_1_method_2,state_2_method_2
0,1.3819051202416346,-7.9201626284812265,1.3819051202416346,-7.9201626284812265
1,0.5898888573935119,-5.285896419650781,0.5898888573935119,-5.285924999992801
2,0.06129921542843386,-3.213559590758377,0.06129635739423178,-3.213645073789405
3,-0.26005674364740383,-1.616491984746236,-0.26006814998470873,-1.6134535556219747
4,-0.42170594212202744,-0.41888049704116803,-0.4214135055469062,-0.43758884958132255
5,-0.46359399182614425,0.44700440120041735,-0.46517239050503845,0.42334456877680837
6,-0.41889355170610254,1.0418789548966496,-0.4228379336273576,1.0197569218510798
7,-0.3147056562164376,1.3769574304472454,-0.3208622414422496,1.3719526683910153
8,-0.17700991317171305,1.5117589330549288,-0.1836669746031481,1.5165081002789145
9,-0.025834019866220165,1.5036573774072606,-0.032016164575256634,1.5126223819456595
10,0.1245317178745059,1.4021715689052856,0.11924607361930933,1.4114670764378092
11,0.2647488747650345,1.2477394525840553,0.2603927812630903,1.2548919014549509
12,0.38952282002344,1.0714032301183118,0.3858819714085854,1.0750806830980575
13,0.4966631430352712,0.8952572911233594,0.4933900397183911,0.8950007319686775
14,0.5861888721476072,0.7334643936103322,0.5828901129152588,0.7294411774874943
15,0.6595353115086404,0.593629514164469,0.6558342306640083,0.5864206951701687
16,0.7188982629250873,0.47833066765734394,0.7144763001810251,0.4687567807304221
17,0.7667313296908217,0.38663495446878055,0.7613519782540674,0.3756197997208299
18,0.8053948251376998,0.31546864117028756,0.7989139582261504,0.3039375710213559
19,0.8369416892547286,0.2607551439942525,0.829307715328286,0.24956289873670448
20,0.8630172036541538,0.21827837845141523,0.8542640052019564,0.20816119490562304
21,0.8848450414992953,0.1842666468919599,0.8750801246925187,0.17581373728509903
22,0.9032717061884913,0.15572133935558757,0.8926614984210286,0.14936154306573
23,0.9188438401240501,0.13053411427207795,0.9075976527276016,0.12653430432244994
24,0.9318972515512579,0.10744614890525694,0.9202510831598466,0.10591866897317384
25,0.9426418664417836,0.08590474766684131,0.930842950057164,0.0868216901317991
26,0.9512323412084678,0.06586792784443418,0.9395251190703439,0.06908042856538868
27,0.9578191339929112,0.04759867970517179,0.9464331619268828,0.05285963035797203
28,0.9625790019634284,0.03147948661957739,0.95171912496268,0.03846819944073854
