time,u_method_1,u_method_2,u_method_3,y_method_1,y_method_2,y_method_3,,u_ref,y_ref
0,8.953262843746336,8.789835118093075,8.675959242359614,-0.226225893,-0.226225893,-0.226225893,,0,1
1,5.157308758587818,5.113094564376466,5.001376638503305,-0.20515882,-0.20515882,-0.20515882,,0,1
2,2.706201695359596,2.727208852920595,2.640575075663476,0.049485984,0.045400291182341596,0.042553394289005064,,0,1
3,1.3129323113872167,1.358094272,1.3177348873985422,0.3480127308151193,0.3403702669337051,0.33302228375753756,,0,1
4,0.6414609661510337,0.6863731388720006,0.6723401720641122,0.603200436,0.5940665128123173,0.5818252481038148,,0,1
5,0.4039026736791523,0.4377684503218199,0.44298159697344963,0.7878105540019084,0.7791290954245911,0.7629155997639532,,0,1
6,0.39148251373699794,0.41221262815119863,0.4223264302025941,0.9050406277211446,0.8980080225847993,0.8790684742084776,,0,1
7,0.4714366835648009,0.4812980814654477,0.4907796426993922,0.9701204220612532,0.965153729,0.9447693921957163,,0,1
8,0.5701619499823594,0.5727877434799212,0.5777122511078989,1.0001870726896056,0.9971477788674008,0.9762573520925321,,0,1
9,0.6539578464797794,0.6526996591614707,0.653358101,1.009646938428793,1.0081108587931948,0.9872917170559561,,0,1
10,0.7126740420111374,0.7099473695277971,0.7070329817609537,1.0087797743173477,1.0082519546977917,0.9877508518238999,,0,1
11,0.7479464459683611,0.7451708338944718,0.7401759052547916,1.0039971208172511,1.0040425174502694,0.9839040122360164,,0,1
12,0.7658111580027511,0.7636256909602035,0.7575040358763372,0.9987508077153155,0.9990499992220281,0.979209737,,0,1
13,0.7727105206764374,0.7712577464142065,0.7647657778579764,0.9945323824084691,0.9948860768297487,0.9752505385616483,,0,1
14,0.7737696265868044,0.7729405414150072,0.766401933,0.9917053720757403,0.9920119241528556,0.9724948646412875,,0,1
15,0.7723912426720009,0.7719936000311456,0.7655726227719348,0.9900934832720092,0.9903177534614027,0.9708574795876782,,0,1
16,0.7704861671240125,0.7703381311426727,0.7640453718684543,0.9893417316893682,0.989486335,0.9700449716269692,,0,1
17,0.7689140714776281,0.7688822811948237,0.762700497,0.9891048237648625,0.9891886770143484,0.9697471988012412,,0,1
18,0.7679102886524453,0.7679143035868548,0.7618038970849921,0.9891222505901355,0.9891672071633054,0.9697182141911619,,0,1
19,0.7674077745445017,0.7674088107687382,0.7613430309811877,0.9892295290008923,0.9892537096986584,0.9697961571506106,,0,1
20,0.7672401828132903,0.7672258747785254,0.7611834527772086,0.9893403680561634,0.9893560533036312,0.969891465,,0,1
21,0.7672476435416978,0.7672189522915824,0.761189192,0.989420854,0.9894349228574247,0.9699654677282746,,0,1
22,0.7673170473778933,0.7672794406324377,0.7612556833811381,0.9894663274078525,0.9894817376214482,0.9700092817469975,,0,1
23,0.7673856568662649,0.7673443939892015,0.7613238916469685,0.9894848339356472,0.9895022125132006,0.9700280896360858,,0,1
24,0.7674288945056293,0.7673872826318207,0.7613683579922146,0.989487255,0.9895061555952115,0.9700311874434666,,0,1
