units,centralized_lqr_mean,centralized_lqr_var,cvx_mean,cvx_var
4,0.14375,0.02795085,0.015625,0
9,0.159375,0.013072813,0.06875,0.008558165
16,0.1875,0.03983609,0.196875,0.008558165
25,0.265625,0.03125,0.58125,0.025674495
36,0.596875,0.118688306,1.325,0.065736512
49,1.921875,0.120017902,2.809375,0.103290587
64,3.309375,0.391467841,5.790625,0.502993966
81,6.20625,0.503212337,10.171875,0.375487964
100,9.853125,0.601674097,18.6125,0.881906338
